2021-03-28 19:09:04 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-03-28 19:09:09 [main] DEBUG o.s.c.c.s.s.GitCredentialsProviderFactory - No credentials provider required for URI https://github.com/vijayasjava/config-server-repository.git
2021-03-28 19:09:11 [main] INFO  c.lab.ali.configserver.ConfigServer - Starting ConfigServer on DESKTOP-H5DRE7R with PID 9592 (E:\seemakurthi\courses\microservices_ali\sources\microservices-demo\config-server\target\classes started by vijay in E:\seemakurthi\courses\microservices_ali\sources\microservices-demo\config-server)
2021-03-28 19:09:11 [main] DEBUG c.lab.ali.configserver.ConfigServer - Running with Spring Boot v2.3.9.RELEASE, Spring v5.2.13.RELEASE
2021-03-28 19:09:11 [main] INFO  c.lab.ali.configserver.ConfigServer - The following profiles are active: default
2021-03-28 19:09:11 [main] INFO  c.lab.ali.configserver.ConfigServer - Started ConfigServer in 1.034 seconds (JVM running for 9.651)
2021-03-28 19:09:11 [main] INFO  c.lab.ali.configserver.ConfigServer - No active profile set, falling back to default profiles: default
2021-03-28 19:09:12 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=34c9357d-be67-3d2d-848f-067da4eaed54
2021-03-28 19:09:12 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-03-28 19:09:12 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-03-28 19:09:12 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-03-28 19:09:12 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
2021-03-28 19:09:12 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-28 19:09:12 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1474 ms
2021-03-28 19:09:12 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-28 19:09:13 [main] DEBUG o.s.c.c.s.s.GitCredentialsProviderFactory - No credentials provider required for URI https://github.com/vijayasjava/config-server-repository.git
2021-03-28 19:09:15 [RMI TCP Connection(1)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-28 19:09:15 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-28 19:09:15 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-03-28 19:09:15 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 221 ms
2021-03-28 19:09:15 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-03-28 19:09:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-03-28 19:09:16 [main] INFO  c.lab.ali.configserver.ConfigServer - Started ConfigServer in 13.373 seconds (JVM running for 15.351)
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8888"]
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8888"]
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8888"]
2021-03-28 19:11:01 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-28 19:11:01 [Thread-1] WARN  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\vijay\AppData\Local\Temp\config-repo-15432356378976975102\.git\objects\pack\pack-a4ef16a8d2983d79cd4ac0fc7c2129e31d6419c1.idx
2021-03-28 19:11:01 [Thread-10] WARN  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\vijay\AppData\Local\Temp\config-repo-6815361282399047800\.git\objects\pack\pack-a4ef16a8d2983d79cd4ac0fc7c2129e31d6419c1.idx
